Date,Name,NAV
07/30/2018,Fidelity Index World P Acc,1.8245,
07/31/2018,Fidelity Index World P Acc,1.8122,
08/01/2018,Fidelity Index World P Acc,1.8183,
08/02/2018,Fidelity Index World P Acc,1.8087,
08/03/2018,Fidelity Index World P Acc,1.8336,
08/06/2018,Fidelity Index World P Acc,1.8482,
08/07/2018,Fidelity Index World P Acc,1.854,
08/08/2018,Fidelity Index World P Acc,1.8704,
08/09/2018,Fidelity Index World P Acc,1.8647,
08/10/2018,Fidelity Index World P Acc,1.8719,
08/13/2018,Fidelity Index World P Acc,1.8565,
08/14/2018,Fidelity Index World P Acc,1.8537,
08/15/2018,Fidelity Index World P Acc,1.8541,
08/16/2018,Fidelity Index World P Acc,1.8613,
08/17/2018,Fidelity Index World P Acc,1.864,
08/20/2018,Fidelity Index World P Acc,1.8667,
08/21/2018,Fidelity Index World P Acc,1.8633,
08/22/2018,Fidelity Index World P Acc,1.8605,
08/23/2018,Fidelity Index World P Acc,1.8557,
08/24/2018,Fidelity Index World P Acc,1.8611,
08/28/2018,Fidelity Index World P Acc,1.8821,
08/29/2018,Fidelity Index World P Acc,1.8823,
08/30/2018,Fidelity Index World P Acc,1.8707,
08/31/2018,Fidelity Index World P Acc,1.8631,
09/03/2018,Fidelity Index World P Acc,1.8752,
09/04/2018,Fidelity Index World P Acc,1.8789,
09/05/2018,Fidelity Index World P Acc,1.8724,
09/06/2018,Fidelity Index World P Acc,1.8502,
09/07/2018,Fidelity Index World P Acc,1.8308,
09/10/2018,Fidelity Index World P Acc,1.8416,
09/11/2018,Fidelity Index World P Acc,1.8309,
09/12/2018,Fidelity Index World P Acc,1.8418,
09/13/2018,Fidelity Index World P Acc,1.8364,
09/14/2018,Fidelity Index World P Acc,1.8388,
09/17/2018,Fidelity Index World P Acc,1.8405,
09/18/2018,Fidelity Index World P Acc,1.8338,
09/19/2018,Fidelity Index World P Acc,1.8382,
09/20/2018,Fidelity Index World P Acc,1.8366,
09/21/2018,Fidelity Index World P Acc,1.8573,
09/24/2018,Fidelity Index World P Acc,1.8639,
09/25/2018,Fidelity Index World P Acc,1.8592,
09/26/2018,Fidelity Index World P Acc,1.8581,
09/27/2018,Fidelity Index World P Acc,1.8528,
09/28/2018,Fidelity Index World P Acc,1.8656,
10/01/2018,Fidelity Index World P Acc,1.8746,
10/02/2018,Fidelity Index World P Acc,1.8773,
10/03/2018,Fidelity Index World P Acc,1.874,
10/04/2018,Fidelity Index World P Acc,1.8689,
10/05/2018,Fidelity Index World P Acc,1.8472,
10/08/2018,Fidelity Index World P Acc,1.8326,
10/09/2018,Fidelity Index World P Acc,1.8247,
10/10/2018,Fidelity Index World P Acc,1.8118,
10/11/2018,Fidelity Index World P Acc,1.7434,
10/12/2018,Fidelity Index World P Acc,1.7396,
10/15/2018,Fidelity Index World P Acc,1.7435,
10/16/2018,Fidelity Index World P Acc,1.7368,
10/17/2018,Fidelity Index World P Acc,1.7754,
10/18/2018,Fidelity Index World P Acc,1.7733,
10/19/2018,Fidelity Index World P Acc,1.7628,
10/22/2018,Fidelity Index World P Acc,1.7663,
10/23/2018,Fidelity Index World P Acc,1.7413,
10/24/2018,Fidelity Index World P Acc,1.7497,
10/25/2018,Fidelity Index World P Acc,1.7267,
10/26/2018,Fidelity Index World P Acc,1.7241,
10/29/2018,Fidelity Index World P Acc,1.7389,
10/30/2018,Fidelity Index World P Acc,1.7303,
10/31/2018,Fidelity Index World P Acc,1.7608,
11/01/2018,Fidelity Index World P Acc,1.7519,
11/02/2018,Fidelity Index World P Acc,1.7677,
11/05/2018,Fidelity Index World P Acc,1.747,
11/06/2018,Fidelity Index World P Acc,1.7417,
11/07/2018,Fidelity Index World P Acc,1.7546,
11/08/2018,Fidelity Index World P Acc,1.7753,
11/09/2018,Fidelity Index World P Acc,1.7684,
11/12/2018,Fidelity Index World P Acc,1.7832,
11/13/2018,Fidelity Index World P Acc,1.7564,
11/14/2018,Fidelity Index World P Acc,1.7456,
11/15/2018,Fidelity Index World P Acc,1.7547,
11/16/2018,Fidelity Index World P Acc,1.7658,
11/19/2018,Fidelity Index World P Acc,1.7736,
11/20/2018,Fidelity Index World P Acc,1.7355,
11/21/2018,Fidelity Index World P Acc,1.7288,
11/22/2018,Fidelity Index World P Acc,1.7202,
11/23/2018,Fidelity Index World P Acc,1.725,
11/26/2018,Fidelity Index World P Acc,1.7346,
11/27/2018,Fidelity Index World P Acc,1.7514,
11/28/2018,Fidelity Index World P Acc,1.7473,
11/29/2018,Fidelity Index World P Acc,1.7814,
11/30/2018,Fidelity Index World P Acc,1.7792,
12/03/2018,Fidelity Index World P Acc,1.8218,
12/04/2018,Fidelity Index World P Acc,1.8,
12/05/2018,Fidelity Index World P Acc,1.7655,
12/06/2018,Fidelity Index World P Acc,1.7295,
12/07/2018,Fidelity Index World P Acc,1.7401,
12/10/2018,Fidelity Index World P Acc,1.7301,
12/11/2018,Fidelity Index World P Acc,1.7467,
12/12/2018,Fidelity Index World P Acc,1.7585,
12/13/2018,Fidelity Index World P Acc,1.7448,
12/14/2018,Fidelity Index World P Acc,1.74,
12/17/2018,Fidelity Index World P Acc,1.7178,
12/18/2018,Fidelity Index World P Acc,1.6853,
12/19/2018,Fidelity Index World P Acc,1.6984,
12/20/2018,Fidelity Index World P Acc,1.6649,
12/21/2018,Fidelity Index World P Acc,1.6399,
12/24/2018,Fidelity Index World P Acc,1.6175,
12/27/2018,Fidelity Index World P Acc,1.6233,
12/28/2018,Fidelity Index World P Acc,1.6545,
12/31/2018,Fidelity Index World P Acc,1.6515,
01/02/2019,Fidelity Index World P Acc,1.6435,
01/03/2019,Fidelity Index World P Acc,1.6527,
01/04/2019,Fidelity Index World P Acc,1.6562,
01/07/2019,Fidelity Index World P Acc,1.6751,
01/08/2019,Fidelity Index World P Acc,1.6947,
01/09/2019,Fidelity Index World P Acc,1.7074,
01/10/2019,Fidelity Index World P Acc,1.7056,
01/11/2019,Fidelity Index World P Acc,1.709,
01/14/2019,Fidelity Index World P Acc,1.6873,
